STCOFIPS,fips-int,CountyName,State,totalfertN-kg-1987,totalfertN-kg-1992,totalfertN-kg-1997,totalfertN-kg-2002,totalfertN-kg-2007,totalfertN-kg-2012,totalfertN-kg-2017,totalfertP-kg-1987,totalfertP-kg-1992,totalfertP-kg-1997,totalfertP-kg-2002,totalfertP-kg-2007,totalfertP-kg-2012,totalfertP-kg-2017
40033,40033,Cotton,OK,4604212,5415637,3715929,2994600,3119711,3692977,3370617,690262,526355,397479,414843,315399,305664,375053
40035,40035,Craig,OK,2209192,3243514,3143003,2840473,2463199,2471060,2609833,332784,315785,336815,393886,249198,204824,329201
40037,40037,Creek,OK,611175,859693,923397,891198,790367,528454,755322,103789,87955,104471,127451,81452,46446,89507
40039,40039,Custer,OK,8091823,9455350,8037667,4301165,6222751,6639824,5884499,1215843,919987,860781,596637,629403,550171,680520
40041,40041,Delaware,OK,2099619,2755628,2820088,1594190,2377270,1882019,1861297,318734,269490,304118,222736,241136,157154,261862
40043,40043,Dewey,OK,3817515,4443629,4181114,3268450,2954957,3053082,3921346,572234,431849,447064,452667,298714,252676,459916
40045,40045,Ellis,OK,3450302,3591709,3032817,1621818,1696179,1852558,1620519,517111,349037,324288,224650,171475,153332,166814
40047,40047,Garfield,OK,8369560,12032666,11017991,7787670,10013888,11838984,11660962,1264202,1172732,1182358,1081409,1013373,981690,1493133
40049,40049,Garvin,OK,2526302,3011823,2923989,2358875,1807894,1435817,2371232,382736,294130,314427,327890,183233,119626,316943
40051,40051,Grady,OK,5116078,5786363,5553664,4503974,4668164,3994760,4680084,773127,564655,596947,625993,472856,332312,567973
40053,40053,Grant,OK,8021731,9973738,8746958,7136954,7571274,8840102,9573584,1201864,969059,935075,988315,765299,731455,1237795
40055,40055,Greer,OK,1979307,3079371,2028004,2054443,2163848,2231072,2195818,297169,299393,217049,284647,218785,184713,254321
40057,40057,Harmon,OK,2111603,2331146,2288670,1982270,2244938,2729991,3307211,316620,226585,244760,274550,226932,225915,371878
40059,40059,Harper,OK,3702639,3872427,3007075,889552,1730231,1718909,2010379,554851,376295,321518,123248,174912,142270,191858
